basho,rank,rikishi,shusshin,weight_pounds,height_feet,height_feet_floor,height_inches_remainder,age,age_floor,country,count
1999.01,42,Miyabiyama,Japan,377.055,6.158136483,6,1.897637795,21.40821918,21,Japan,1
1999.01,6,Chiyotaikai,Japan,352.8,5.93832021,5,11.25984252,22.65479452,22,Japan,1
1999.01,10,Tochiazuma,Japan,328.545,5.905511811,5,10.86614173,22.12328767,22,Japan,2
1999.01,23,Wakanosato,Japan,348.39,6.069553806,6,0.834645669,22.45753425,22,Japan,3
1999.01,38,Chiyotenzan,Japan,328.545,6.003937008,6,0.047244094,22.87945205,22,Japan,4
1999.01,39,Kinkaiyama,Japan,310.905,6.003937008,6,0.047244094,22.96164384,22,Japan,5
1999.01,9,Dejima,Japan,355.005,5.872703412,5,10.47244094,24.76164384,24,Japan,1
1999.01,19,Toki,Japan,355.005,6.167979003,6,2.015748031,24.4739726,24,Japan,2
1999.01,28,Tochinonada,Japan,374.85,6.167979003,6,2.015748031,24.82465753,24,Japan,3
1999.01,20,Tokitsuumi,Japan,282.24,6.069553806,6,0.834645669,25.1260274,25,Japan,1
1999.01,29,Kaiho,Japan,269.01,5.807086614,5,9.68503937,25.68767123,25,Japan,3
1999.01,30,Gojoro,Japan,324.135,6.233595801,6,2.803149606,25.35068493,25,Japan,4
1999.01,32,Wakanojo,Japan,339.57,6.332020997,6,3.984251969,25.69863014,25,Japan,5
1999.01,27,Kyokushuzan,Mongolia,293.265,5.971128609,5,11.65354331,25.79726027,25,Mongolia,2
1999.01,1,Takanohana,Japan,339.57,6.069553806,6,0.834645669,26.36712329,26,Japan,1
1999.01,8,Musoyama,Japan,372.645,6.102362205,6,1.228346457,26.85753425,26,Japan,2
1999.01,12,Kaio,Japan,341.775,6.036745407,6,0.440944882,26.41917808,26,Japan,3
1999.01,13,Tosanoumi,Japan,348.39,6.135170604,6,1.622047244,26.85205479,26,Japan,4
1999.01,15,Tamakasuga,Japan,337.365,6.003937008,6,0.047244094,26.96164384,26,Japan,5
1999.01,21,Kotoryu,Japan,317.52,6.069553806,6,0.834645669,26.81369863,26,Japan,6
1999.01,2,Wakanohana,Japan,288.855,5.93832021,5,11.25984252,27.9260274,27,Japan,1
1999.01,5,Takanonami,Japan,385.875,6.463254593,6,5.559055118,27.15890411,27,Japan,3
1999.01,34,Oginishiki,Japan,310.905,6.036745407,6,0.440944882,27.4630137,27,Japan,4
1999.01,4,Musashimaru,U.S.A.,474.075,6.266404199,6,3.196850394,27.64657534,27,Foreign,2
1999.01,17,Aogiyama,Japan,328.545,5.93832021,5,11.25984252,28.84657534,28,Japan,1
1999.01,26,Shikishima,Japan,407.925,6.003937008,6,0.047244094,28.02465753,28,Japan,2
1999.01,31,Ganyu,Japan,379.26,6.036745407,6,0.440944882,28.38356164,28,Japan,3
1999.01,35,Hamanoshima,Japan,271.215,5.872703412,5,10.47244094,28.76164384,28,Japan,4
1999.01,40,Dewaarashi,Japan,410.13,6.102362205,6,1.228346457,28.40821918,28,Japan,5
1999.01,41,Ohinode,Japan,335.16,6.003937008,6,0.047244094,28.92876712,28,Japan,6
1999.01,25,Higonoumi,Japan,324.135,6.003937008,6,0.047244094,29.25205479,29,Japan,2
1999.01,37,Asanosho,Japan,315.315,6.069553806,6,0.834645669,29.00273973,29,Japan,3
1999.01,3,Akebono,U.S.A.,500.535,6.692913386,6,8.31496063,29.63013699,29,Foreign,1
1999.01,7,Kotonowaka,Japan,385.875,6.266404199,6,3.196850394,30.6109589,30,Japan,1
1999.01,11,Kotonishiki,Japan,299.88,5.807086614,5,9.68503937,30.54520548,30,Japan,2
1999.01,18,Minatofuji,Japan,370.44,6.135170604,6,1.622047244,30.46849315,30,Japan,3
1999.01,36,Asahiyutaka,Japan,291.06,6.233595801,6,2.803149606,30.28767123,30,Japan,4
1999.01,14,Takatoriki,Japan,321.93,5.93832021,5,11.25984252,31.23835616,31,Japan,1
1999.01,16,Akinoshima,Japan,337.365,5.741469816,5,8.897637795,31.77534247,31,Japan,2
1999.01,24,Terao,Japan,253.575,6.102362205,6,1.228346457,35.89041096,35,Japan,1
1999.01,22,Tochinowaka,Japan,357.21,6.233595801,6,2.803149606,36.59178082,36,Japan,1
1999.01,33,Mitoizumi,Japan,385.875,6.332020997,6,3.984251969,36.30958904,36,Japan,2
2004.01,32,Asasekiryu,Mongolia,297.0135,6.003937008,6,0.047244094,22.38356164,22,Mongolia,2
2004.01,29,Kokkai,Georgia,355.2255,6.167979003,6,2.015748031,22.79452055,22,Foreign,1
2004.01,1,Asashoryu,Mongolia,309.141,6.020341207,6,0.244094488,23.24383562,23,Mongolia,1
2004.01,21,Takekaze,Japan,309.3615,5.593832021,5,7.125984252,24.51232877,24,Japan,1
2004.01,18,Kakizoe,Japan,287.7525,5.774278215,5,9.291338583,25.36986301,25,Japan,1
2004.01,22,Shimotori,Japan,335.16,6.167979003,6,2.015748031,25.77260274,25,Japan,2
2004.01,24,Aminishiki,Japan,266.805,6.069553806,6,0.834645669,25.22739726,25,Japan,3
2004.01,36,Ushiomaru,Japan,373.968,5.790682415,5,9.488188976,25.62465753,25,Japan,4
2004.01,7,Tamanoshima,Japan,341.775,6.167979003,6,2.015748031,26.27671233,26,Japan,1
2004.01,11,Hokutoriki,Japan,327.663,6.003937008,6,0.047244094,26.15068493,26,Japan,2
2004.01,23,Miyabiyama,Japan,392.49,6.151574803,6,1.818897638,26.4109589,26,Japan,3
2004.01,33,Wakatoba,Japan,293.265,5.774278215,5,9.291338583,26.52876712,26,Japan,4
2004.01,2,Tochiazuma,Japan,325.2375,5.93832021,5,11.25984252,27.1260274,27,Japan,1
